Phrase,Frequency
; todu,100
kʼi je̩,100
kʼuwe̩ ki,100
e̩wñ le̩,100
do̩ wa,99
meji .,99
e̩wñ ogu,99
kpai amo̩ma-wñ,99
todule̩ abu,99
oñ e̩ne̩,99
chi kʼe̩,97
ma de̩,97
ef ume̩,97
mose̩s kpai,97
"awa ,",97
uña kiafo̩,97
abe̩le̩ i,97
kpai ef,96
"daka ,",96
jihofa de̩,96
", kʼame̩",96
; jihofa,96
la fʼe̩wñ,96
kʼi laño̩,96
jihofa o̩jo̩-me̩,96
abu ku,96
e̩ la,96
e̩wñ chi,96
"da ,",95
amone̩ ku,95
oñ abu,95
kpai amo̩ma,95
i chaka,95
i ño̩,95
"ochochi ,",94
ki bie̩ne̩,94
e̩gba le̩,94
naka ñw,94
ki deju,94
ñw o̩la-wñ,94
tak e̩,94
mi ;,94
kʼi de̩,93
iche̩bo̩ adure,93
kʼi chʼe̩wñ,93
ma laño̩,93
de̩ n,93
oñ me̩,93
"oji ,",92
me̩ go,92
todu me̩,91
o̩jo̩ mebie,91
kʼi du,91
e̩wñ ki,91
ko ñwu,91
je̩rusale̩m .,90
ef uma,90
nyʼo̩gwo̩ko̩ ugbo,90
che n,90
", todule̩",90
"e̩wñ ,",90
ame̩wño̩re̩ egini,89
i fʼu,89
e̩gba kʼu,89
ma gbo̩,89
du kpa,89
ge̩ ?,89
kpa ;,89
mi n,89
dohi ñwu,89
"omi ,",89
te̩ n,88
ma jʼugbo-wñ,88
du ji,88
kʼe̩ je̩,88
ñw o̩la-ma,88
kwef abo,88
"we̩ ,",88
"ubi ,",88
"todule̩ ,",88
dufu .,87
. taki,87
abo o̩lo̩pu,87
", alu",87
. o̩do̩,87
israe̩l du,87
atama le̩,87
? e̩wñ,87
oji ma,87
ñw e̩wñ,86
je̩ .,86
ki dago,86
", o̩wo̩",86
lewa ugbo,86
ogu nyoke,86
u n,86
iche̩bo̩ le̩,86
; chai,85
omi la,85
le̩ te̩,85
o̩wo̩ amone̩,85
u la,85
wa che,85
li abu,85
le̩ i,85
"akakini ,",85
mud e̩wñ,85
abe̩k i,85
o̩jo̩ du,85
che alu,84
todu e̩wñ,84
"e̩do̩ ,",84
? ma,84
", kʼuwe̩",84
kʼi mud,84
? todule̩,84
a la,84
uwo le̩,84
todu abo,84
e̩gba ku,84
tak uwe̩,84
. o̩la,84
alu le̩,83
fʼu li,83
aka ñwu,83
nyoke meji,83
du le,83
"ijipti ,",83
israe̩l ;,83
la ache,83
taa ?,82
", kpʼabo",82
la li,82
de̩ ?,82
ubi .,82
ta .,82
ma da,82
"owñ ,",82
onu kakini,82
abu kʼondu,82
", akwo̩ra",81
tod e̩wñ,81
dʼodu-wñ ko̩,81
dʼoji dufu,81
"ka-i ,",81
ugbo kʼi,81
gu ef,81
du te̩,81
ki akpo,81
ama ki,81
che kʼi,80
amo̩ma e̩ne̩ke̩le̩,80
"nana ,",80
la fʼu,80
kpai aro̩n,80
adu ñw,80
ko̩la ñwu,80
n. me̩,80
rinyo̩ .,80
jihofa kakini,80
", e-ki",80
ikpo unyi,80
mama ta,80
chʼone̩ icham,80
oñ e̩,80
aje̩ e̩wñ,80
jihofa o̩jo̩,80
"tabale ,",80
le̩ kʼi,79
ma dʼoji,79
kakini .,79
eju .,79
ef aje̩tachi,79
lʼo daka,79
i dohi,79
"lewatu ,",79
uwe̩ la,79
onu .,79
u li,79
che ma,79
la ma,78
gugu oj,78
ma dʼu,78
i chane̩,78
wa jo̩,78
daka .,77
e̩ne̩ke̩le̩ kpai,77
o̩la le̩,77
"ke ,",77
tef unyi,77
", naka",77
la neke,77
akwo̩ra unyi-ma,77
e̩wñ ele,77
ujeju abudo̩,77
oñ uwe̩,76
juda kpai,76
ki jʼef,76
e̩do̩ ekono,76
ki dab,76
le̩ li,76
chaka kpai,76
taku so̩l,76
"ko̩ ,",76
. e̩gbale̩,76
chaka dʼabe̩le̩,75
dabi wa,75
o o̩jo̩,75
la dʼef,75
uña ugugu,75
o̩jo̩ e-israe̩l,75
le̩ lewa,75
o̩wo̩ olodudu,75
jʼef o̩wo̩,75
u kʼi,74
tak abo,74
omi la,74
i mud,74
ma muda,74
", oñ",74
", kʼomi",74
che jihofa,74
ki ka,74
"gba ,",74
ño̩ dabi,74
jo̩ .,74
ne̩ .,74
todu ma,73
"tane̩ ,",73
"mose̩s ,",73
naje̩ ñw,73
. alu,73
", todule̩",73
bi ñw,73
defid kakini,73
bʼo̩ te̩,73
ke .,73
ño̩ ka,73
"omune̩ ,",73
kpa ma,73
amone̩ wewe,73
kpai ane̩,73
me̩ la,73
"me̩ta ,",73
"de ,",73
ef ewo,73
todu omi,73
le̩ dufu,73
nʼugbo du,73
"mu ,",73
tak amone̩,72
jihofa aka-i,72
", ane̩",72
e̩ne̩ ku,72
kpe̩ mi,72
", e̩ne̩ne̩ne̩ne̩",72
kwʼoj ane̩,72
kpai todu,72
ma fʼe̩wñ,72
bʼane̩ ma,72
me̩ go,72
la gugu,72
unyi israe̩l,72
"dago ,",72
ma gba,72
ku jisus,71
tak ama,71
wa ku,71
"babilo̩n ,",71
", o̩la",71
; uwe̩,71
ma fu,71
jihofa kʼi,71
chʼicham nyʼo̩gwo̩ko̩,71
n. ama,71
le̩ ?,71
: oñ,71
uwñ .,71
kpai alu,71
"e̩ne̩ke̩le̩ ,",71
ma kʼe̩wñ,71
", todabu",71
abe̩le̩ i,71
abudo̩ ondu,70
", kpʼe̩wñ",70
oj ubo̩,70
todule̩ me̩,70
todu kʼu,70
kʼabo ku,70
"ache ,",70
kwʼo̩mo̩ le,70
ta n.,70
o̩wo̩ abo,70
? uwe̩,70
la aje̩,70
israe̩l le̩,70
me̩ ka,70
o̩jo̩ ;,70
ma n.,70
todu abu,70
mʼumi du,70
ujeju le̩,70
ka kakini,70
ogbegbele̩ .,69
ma chʼabo,69
"jisus ,",69
; o,69
o̩la ki,69
